video_id,category_id,country,channel_id,channel_title,logged_at_initial,view_count_initial,like_count_initial,comment_count_initial,c_view_count_initial,c_subscriber_count_initial,logged_at_final,view_count_final,like_count_final,comment_count_final,c_view_count_final,c_subscriber_count_final,published_year,published_month,published_day_of_week,published_time,view_count_difference,like_count_difference,avg_view_diff_per_category,avg_likes_diff_per_category,comment_count_difference,avg_comment_diff_per_category,subscriber_count_difference,engagement_score,channel_authority
_55LMf_jcmI,23.0,IN,UCW5BK3XuTUdmF_tbvqZUdyw,Aapna YouTube,2025-07-24 20:19:07,313.0,3.0,0.0,785521.0,1740.0,2025-07-24 21:19:23,472.0,4.0,0.0,785521.0,1740.0,2025,7,Thursday,19:40:50,159.0,1.0,1012.8636363636364,34.63636363636363,0.0,1.5,0.0,0.006289308176100629,7.462214939768189
_HRtp_qRRxM,24.0,unknown,UCFE95GtO0mNBj1xGe3cP5AA,Tango1968,2025-07-24 20:19:07,1.0,0.0,0.0,357560.0,864.0,2025-07-24 21:19:23,5.0,0.0,0.0,357560.0,864.0,2025,7,Thursday,20:12:03,4.0,0.0,1079.7575757575758,31.742424242424242,0.0,1.696969696969697,0.0,0.0,6.762729506931879
_HT11MhWeno,20.0,US,UCF9713wTuPr5wiEIdA4TWag,Jake Snussbuster,2025-07-24 20:19:07,6.0,0.0,0.0,43478.0,347.0,2025-07-24 21:19:23,24.0,0.0,0.0,43649.0,346.0,2025,7,Thursday,20:07:08,18.0,0.0,7633.540540540541,38.891891891891895,0.0,0.32432432432432434,-1.0,0.0,5.8522024797744745
_lqSpfXSGbw,24.0,IN,UCIWSJ3Ef7CM5aCAaWELCDCw,Edik Report ,2025-07-24 20:19:07,3257.0,0.0,1.0,34502534.0,99000.0,2025-07-24 21:19:23,5130.0,0.0,2.0,34574605.0,99000.0,2025,7,Thursday,19:30:13,1873.0,0.0,1079.7575757575758,31.742424242424242,1.0,1.696969696969697,0.0,0.001601708489054992,11.502885230075814
-2OQrsjoKZ0,24.0,US,UCmLQp9v8O0wipphwRk2tw9w,BRO GARY RADIO,2025-07-24 20:19:07,981.0,59.0,0.0,4489959.0,22900.0,2025-07-24 21:19:23,1211.0,60.0,1.0,4490042.0,22900.0,2025,7,Thursday,19:47:20,230.0,1.0,1079.7575757575758,31.742424242424242,1.0,1.696969696969697,0.0,0.017391304347826087,10.038935856711177
-nGIiEUyJeI,22.0,VN,UCZqvv1Im2TAsg2izSYxn-CA,naruto16VN,2025-07-24 20:19:07,0.0,0.0,0.0,1718095.0,1650.0,2025-07-24 21:19:23,0.0,0.0,0.0,1718155.0,1650.0,2025,7,Thursday,19:38:43,0.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,7.409136443920128
-sI5GUMzBIs,1.0,IN,UCrnEvVolUysSz9ACG7V-3eg,PFC IITD,2025-07-24 20:19:07,4.0,1.0,0.0,33225828.0,73900.0,2025-07-24 21:19:23,31.0,5.0,0.0,33225828.0,73900.0,2025,7,Thursday,20:00:00,27.0,4.0,420.05263157894734,43.473684210526315,0.0,1.7894736842105263,0.0,0.14814814814814814,11.210481638644469
-T4rq0PBlAo,17.0,BD,UCjddF3EFoYVAooFNN-2kKPw,T Sports Football,2025-07-24 20:19:07,2409.0,201.0,20.0,64175404.0,312000.0,2025-07-24 21:19:23,5131.0,440.0,31.0,64175404.0,312000.0,2025,7,Thursday,19:30:01,2722.0,239.0,1323.0,29.375,11.0,1.875,0.0,0.09992652461425422,12.650761671914688
-tEE4Kt7hv8,22.0,unknown,UCyyUCW6psUf7mGsVle0awlQ,Jharna Kundu,2025-07-24 20:19:07,3.0,1.0,0.0,1391.0,4.0,2025-07-24 21:19:23,6.0,2.0,0.0,1395.0,4.0,2025,7,Thursday,20:00:00,3.0,1.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.3333333333333333,1.6094379124341003
-tfsCvR-0eE,20.0,IN,UCY9ZiC2CNPxtfn2miG5ocVQ,Alostic Gaming,2025-07-24 20:19:07,6.0,4.0,0.0,241053.0,1150.0,2025-07-24 21:19:23,28.0,7.0,0.0,241053.0,1150.0,2025,7,Thursday,18:46:47,22.0,3.0,7633.540540540541,38.891891891891895,0.0,0.32432432432432434,0.0,0.13636363636363635,7.048386408721883
0-DMlKNHJ-Y,24.0,IN,UCNNSFJtPSghIIJaf_ofH09w,Film Talkies ,2025-07-24 20:19:07,270.0,33.0,4.0,393687.0,2480.0,2025-07-24 21:19:23,425.0,64.0,6.0,393687.0,2480.0,2025,7,Thursday,19:22:59,155.0,31.0,1079.7575757575758,31.742424242424242,2.0,1.696969696969697,0.0,0.23870967741935484,7.816416983691801
0btSaU96cC8,22.0,US,UC4KeyqnEYo3qVdPCj3dK4ZA,Stellar Sci-Fi Reddit,2025-07-24 20:19:07,0.0,0.0,0.0,95639.0,1410.0,2025-07-24 21:19:23,1.0,0.0,0.0,96378.0,1410.0,2025,7,Thursday,19:56:37,1.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,7.252053951852814
