iter	RMSE
0	5913.681005
1	5741.871411
2	5578.771041
3	5428.65403
4	5297.434574
5	5159.522701
6	5031.140469
7	4907.349387
8	4786.913343
9	4680.233483
10	4571.372694
11	4469.90949
12	4379.444559
13	4293.71018
14	4206.873602
15	4123.517197
16	4047.059447
17	3975.595334
18	3911.708971
19	3852.603323
20	3793.681217
21	3733.939646
22	3682.717753
23	3633.864164
24	3587.041066
25	3542.413074
26	3498.545471
27	3458.392088
28	3421.098481
29	3383.330186
30	3350.024837
31	3319.086641
32	3288.295032
33	3259.703218
34	3232.428055
35	3207.455598
36	3182.162975
37	3160.545193
38	3138.232563
39	3117.968865
40	3098.105592
41	3081.124871
42	3062.063335
43	3044.403267
44	3029.837996
45	3014.129823
46	2999.228523
47	2985.072338
48	2971.580457
49	2958.663658
50	2946.339777
51	2934.864276
52	2925.645142
53	2915.342537
54	2904.861068
55	2895.432964
56	2887.029735
57	2876.640791
58	2867.341904
59	2859.673748
60	2851.088123
61	2843.720023
62	2836.712864
63	2829.758541
64	2823.838997
65	2817.550327
66	2811.205959
67	2804.653463
68	2799.758375
69	2795.27584
70	2789.635037
71	2784.634792
72	2780.804497
73	2776.556489
74	2770.840885
75	2765.121483
76	2759.798497
77	2754.776327
78	2750.150854
79	2747.460666
80	2742.790721
81	2738.512176
82	2735.294675
83	2731.599318
84	2727.712521
85	2722.964984
86	2719.831934
87	2716.418192
88	2712.947995
89	2707.893909
90	2704.58925
91	2701.856753
92	2699.532984
93	2697.560558
94	2692.641399
95	2690.481263
96	2688.033178
97	2685.482421
98	2680.843017
99	2676.720065
100	2673.903043
101	2672.061435
102	2668.212585
103	2666.037129
104	2663.492495
105	2662.090266
106	2658.447882
107	2656.226446
108	2653.83188
109	2651.740835
110	2649.224537
111	2644.791394
112	2641.391646
113	2637.153452
114	2635.621046
115	2633.861174
116	2630.644766
117	2627.549182
118	2625.038665
119	2622.144834
120	2619.063483
121	2617.453125
122	2616.138936
123	2614.702568
124	2613.591914
125	2610.516602
126	2609.238887
127	2607.393513
128	2606.17209
129	2602.829887
130	2600.957001
131	2599.080979
132	2595.877792
133	2593.519423
134	2592.507604
135	2590.428757
136	2588.961673
137	2587.915492
138	2586.482082
139	2585.565305
140	2583.474891
141	2582.356225
142	2581.641795
143	2580.212832
144	2579.114639
145	2578.194288
146	2577.154472
147	2575.133387
148	2573.006799
149	2572.047867
150	2569.381338
151	2567.211679
152	2564.377965
153	2562.156317
154	2561.373402
155	2560.494296
156	2559.609628
157	2558.598559
158	2557.495613
159	2556.504001
160	2555.519568
161	2555.003434
162	2552.840586
163	2552.085778
164	2550.07442
165	2547.864107
166	2546.937147
167	2545.41727
168	2543.948891
169	2542.995051
170	2542.113411
171	2541.49044
172	2539.729505
173	2539.255544
174	2538.343015
175	2537.070043
176	2536.288062
177	2535.369399
178	2533.572245
179	2532.211705
180	2530.668896
181	2529.225122
182	2528.47133
183	2527.696956
184	2526.678556
185	2525.673654
186	2524.485374
187	2522.781667
188	2522.361276
189	2521.09082
190	2519.662502
191	2517.974356
192	2517.17627
193	2515.542559
194	2514.429464
195	2513.556919
196	2512.751579
197	2512.283395
198	2511.246618
199	2510.607849
200	2509.235278
201	2508.510633
202	2507.474604
203	2507.024857
204	2506.316847
205	2505.612976
206	2504.540069
207	2504.171021
208	2503.737139
209	2503.317772
210	2502.406561
211	2502.012777
212	2500.561334
213	2499.573587
214	2498.782172
215	2498.308966
216	2497.535733
217	2496.78035
218	2495.198678
219	2493.56205
220	2492.215017
221	2491.273324
222	2490.899397
223	2490.056281
224	2489.320813
225	2488.943148
226	2488.1566
227	2487.757495
228	2486.82117
229	2485.930209
230	2485.595705
231	2485.260502
232	2484.86301
233	2484.548701
234	2484.20454
235	2483.368084
236	2482.662687
237	2482.35757
238	2482.060164
239	2481.688844
240	2480.851537
241	2480.516261
242	2480.192366
243	2478.73709
244	2478.42067
245	2477.734687
246	2476.969569
247	2476.207521
248	2475.922133
249	2475.616703
250	2474.926284
251	2474.335141
252	2474.058601
253	2473.401605
254	2473.131934
255	2472.868922
256	2472.16595
257	2471.464102
258	2470.822781
259	2470.563484
260	2469.987373
261	2469.360087
262	2469.106461
263	2468.83997
264	2468.594376
265	2467.82218
266	2467.190756
267	2466.068575
268	2465.432699
269	2464.773786
270	2464.497914
271	2464.169931
272	2463.852536
273	2463.252731
274	2462.945001
275	2462.322865
276	2461.74911
277	2461.480558
278	2461.246218
279	2460.688147
280	2460.079594
281	2459.512079
282	2458.913145
283	2457.695621
284	2456.592903
285	2456.304197
286	2456.081379
287	2455.828138
288	2455.234614
289	2454.683765
290	2453.667409
291	2453.086362
292	2452.810919
293	2452.242639
294	2450.855353
295	2449.419909
296	2448.866575
297	2448.325435
298	2447.193368
299	2445.286282
300	2445.069006
301	2444.797279
302	2444.25278
303	2442.870145
304	2442.354035
305	2441.848999
306	2441.340892
307	2440.708758
308	2439.4444
309	2438.184404
310	2437.699781
311	2437.491788
312	2437.017437
313	2435.986118
314	2434.488138
315	2434.263849
316	2433.037776
317	2432.324838
318	2431.649477
319	2430.43768
320	2429.95858
321	2429.317613
322	2428.86269
323	2428.583586
324	2427.196689
325	2426.6002
326	2426.328581
327	2425.163479
328	2424.466109
329	2424.20109
330	2423.608495
331	2422.942842
332	2422.339075
333	2421.895375
334	2420.696559
335	2419.875433
336	2419.232747
337	2418.069935
338	2417.633557
339	2416.537447
340	2414.913631
341	2414.665535
342	2414.188422
343	2414.040769
344	2413.428874
345	2412.317237
346	2411.861986
347	2411.435701
348	2410.323177
349	2409.825065
350	2409.640465
351	2409.403447
352	2409.261235
353	2408.775233
354	2408.301034
355	2407.504338
356	2407.32591
357	2406.863406
358	2406.06015
359	2405.427636
360	2404.975893
361	2403.906976
362	2403.198378
363	2403.025648
364	2402.584273
365	2402.415321
366	2401.984189
367	2401.251386
368	2400.614753
369	2400.105015
370	2399.757535
371	2398.860378
372	2397.837598
373	2397.41678
374	2395.912413
375	2395.501114
376	2395.337105
377	2394.648525
378	2394.243048
379	2393.64206
380	2393.125514
381	2392.723368
382	2392.031685
383	2390.768633
384	2389.809399
385	2389.608931
386	2389.392261
387	2388.998839
388	2387.909594
389	2387.430902
390	2386.421733
391	2386.296821
392	2385.913247
393	2385.332009
394	2384.956777
395	2383.238958
396	2382.686909
397	2382.132619
398	2381.599549
399	2381.076402
400	2380.708287
401	2380.247775
402	2380.060886
403	2379.350329
404	2378.200396
405	2377.840519
406	2376.300074
407	2375.735069
408	2375.010463
409	2374.632864
410	2374.23902
411	2372.570834
412	2372.218916
413	2371.874501
414	2371.278844
415	2371.078978
416	2370.73441
417	2370.484252
418	2370.14763
419	2369.968446
420	2369.270333
421	2368.717901
422	2368.388201
423	2368.212464
424	2366.760248
425	2366.57237
426	2364.977656
427	2364.653514
428	2363.987536
429	2363.183572
430	2362.687573
431	2362.452479
432	2362.135705
433	2361.825428
434	2361.3098
435	2360.780478
436	2360.560262
437	2359.893871
438	2359.780732
439	2359.171519
440	2359.070285
441	2357.714196
442	2356.177284
443	2355.806235
444	2355.441309
445	2355.068403
446	2354.412935
447	2354.204768
448	2353.693969
449	2353.415639
450	2351.936219
451	2351.44932
452	2350.399149
453	2350.28961
454	2350.194943
455	2349.893528
456	2349.598195
457	2349.49062
458	2349.22855
459	2348.075465
460	2347.904438
461	2347.407273
462	2345.963663
463	2345.718782
464	2345.432237
465	2344.882149
466	2343.360368
467	2343.151718
468	2342.699438
469	2341.986798
470	2341.706589
471	2341.232469
472	2340.425282
473	2340.194862
474	2339.986659
475	2339.883952
476	2339.231052
477	2339.081415
478	2337.625634
479	2337.122276
480	2336.181498
481	2335.6333
482	2335.419423
483	2335.21713
484	2334.348721
485	2334.245433
486	2334.156045
487	2332.962513
488	2332.116655
489	2331.407227
490	2330.57593
491	2330.368072
492	2329.686102
493	2329.591115
494	2329.3196
495	2329.053438
496	2327.983888
497	2327.824359
498	2327.645023
499	2326.983533
500	2326.809874
501	2326.167213
502	2324.857703
503	2324.230182
504	2324.103488
505	2323.493708
506	2323.141784
507	2322.687327
508	2322.531839
509	2321.940101
510	2321.798127
511	2321.645596
512	2321.032712
513	2320.77327
514	2320.204908
515	2319.950068
516	2319.801537
517	2319.192527
518	2317.80707
519	2317.367412
520	2315.828152
521	2314.586385
522	2314.503861
523	2313.946682
524	2313.866388
525	2313.324936
526	2312.278658
527	2311.291775
528	2310.669467
529	2310.173611
530	2309.739236
531	2309.1878
532	2308.144518
533	2307.250035
534	2307.172419
535	2306.449505
536	2305.920992
537	2304.966552
538	2303.56428
539	2303.052581
540	2302.286053
541	2302.131132
542	2300.811981
543	2299.568168
544	2297.803187
545	2297.664521
546	2297.522828
547	2296.543212
548	2296.017826
549	2295.609912
550	2294.790908
551	2294.662914
552	2294.537981
553	2294.025909
554	2292.878978
555	2292.396862
556	2291.859345
557	2290.733691
558	2290.126684
559	2289.05991
560	2288.97346
561	2288.000501
562	2287.504342
563	2287.41909
564	2287.301994
565	2287.187697
566	2286.184429
567	2285.501306
568	2285.019547
569	2284.51399
570	2283.232148
571	2282.165261
572	2281.62792
573	2281.378368
574	2280.65256
575	2280.188826
576	2280.105257
577	2279.482332
578	2279.020784
579	2278.776013
580	2278.08523
581	2277.975439
582	2277.527169
583	2276.610392
584	2276.528208
585	2275.999341
586	2275.917992
587	2274.601809
588	2273.920959
589	2273.815711
590	2273.73553
591	2273.001323
592	2272.898714
593	2272.460711
594	2272.361298
595	2271.830478
596	2271.390664
597	2270.959715
598	2270.337216
599	2270.24055
600	2270.14615
601	2269.735546
602	2269.306985
603	2268.465602
604	2268.223872
605	2267.731956
606	2267.639104
607	2267.146521
608	2266.715246
609	2266.624339
610	2266.206454
611	2265.600706
612	2265.206335
613	2264.661902
614	2264.2605
615	2263.986269
616	2263.90792
617	2263.523875
618	2262.920782
619	2262.367935
620	2261.764029
621	2261.39789
622	2261.160252
623	2260.590996
624	2260.05826
625	2259.542176
626	2259.274723
627	2258.765477
628	2257.938121
629	2257.453124
630	2256.964689
631	2256.440275
632	2255.678302
633	2254.714223
634	2254.26257
635	2254.186751
636	2253.440361
637	2252.897094
638	2252.444145
639	2252.36956
640	2251.857071
641	2251.423244
642	2250.943405
643	2250.869508
644	2250.651651
645	2250.094239
646	2249.748625
647	2248.999401
648	2248.571638
649	2248.215308
650	2247.897332
651	2247.746041
652	2247.274376
653	2246.852326
654	2246.430663
655	2246.094528
656	2246.020138
657	2245.946899
658	2245.523414
659	2244.942932
660	2244.704681
661	2244.395703
662	2243.912843
663	2243.560016
