iter	Passed	Remaining
0	0	621
1	1	361
22	3	738
3	3	596
4	4	617
5	4	53966	5	4867	3	317
88	6	44799	6	416110	6	40611	5	292
12	6	306
13	6	309
14	7	308
15	8	337
16	8	327
17	9	348
18	10	350
19	10	354
20	11	344
21	11	339
22	11	337
23	12	329
24	12	321
25	12	312626	13	331
27	14	332828	14	3329	15	336
30	16	335
3131	16	3232	17	341
33	18	339
3434	18	3235	18	331
3636	18	323737	19	323838	19	313939	20	3240	20	322
41	22	343
42	23	339
43	26	383
44	28	396
45	28	391
46	30	404
47	31	414
48	32	411
49	32	405
50	34	417
51	35	421
52	36	424
53	36	421
54	37	416
55	38	423
56	39	426
57	39	421
58	40	416
59	41	421
60	41	416
61	41	411
62	42	406
63	42	401
664	44	41865	44	405
66	44	400
67	44	396
68	44	393
69	45	393
70	46	390
71	49	412
72	49	408
73	50	404
74	50	400
75	50	396
76	50	392
77	50	388
78	55	414
79	55	410
80	56	412
81	57	416
82	58	413
83	58	410
84	59	408
85	59	405
886	61	411
87	62	412
88	62	408
89	62	404
90	63	405
91	63	40292	62	386
93	62	383
94	62	380
95	63	378
96	63	376
97	63	373
998	68	393
99	68	394
100	69	391
101	69	390
102	70	387
103	70	386
104	71	386
105	71	382
106	71	379
107	72	378
108	73	377109	111	569
110	111	565
111	112	560
112	112	555
113	112	550
114	112	545
115	112	540
116	113	536
117	113	531
118	113	528
119	119	549
120	119	544
121	123	554
122	136	608
123	147	650
124	155	680
125	156	677
126	157	673
127	157	669
128	157	664
129	172	717
130	177	731
131	177	726
132	177	720
133	181	729
134	181	723
135	182	719
136	198	775
137	198	769
138	201	770
139	201	764
140	204	769
141	204	764
142	204	758
143	205	752
144	213	775
145	213	770
146	222	792
147	230	817
148	231	812
149	231	807
150	232	801
151	232	795
152	232	789
153	242	816
154	243	811
155	246	814
156	251	824
157	251	819
158	253	819
159	255	816
160	257	815
161	257	809
162	257	803
163	257	798
164	257	792
165	258	786
166	258	781
167	258	775
168	258	770
172	257	743
173	257	738
174	273	7173	307	880
174	308	874
175	308	869
176	309	864
177	311	864
178	311	859
17180	305	829
181	311	837
182	314	839
183	314	834
184	314	828
185	315	823
186	315	817
187	316	815
188	317	810
189	317	805
190	317	800
191	318	795
192	318	791
193	319	786
194	319	781
195	319	776
196	319	771
197	320	766
198	320	761
199	320	756
200	320	751
201	321	747
202	321	743
203	321	73203	328	753
204	328	748
20206	323	7220207	323	72207	330	737
208	331	734
209	332	730
210	333	729
211	334	726
212	335	723
213	336	720
214	337	716
215	338	713
216	338	709
217	338	705
218	338	701
219	339	696
220	339	693
221	340	690
222	341	686
223	341	682
224	341	678
225	341	674
226	342	670
227	342	666
228	343	663
229	343	659
230	343	656
231	344	652
232	344	649
233	347	650
234	348	647
235	348	644
236	349	640
237	350	639
238	351	636
239	351	632
240	353	631
241	353	627
242	353	624
243	353	620
244	354	617
245	354	614
246	354	610
247	355	607
248	355	604
249	355	600
250	357	599
251	359	598
252	359	595
253	360	593
254	361	590
255	361	587
256	361	584
257	361	580
258	362	260	349	550
261	357	559
262	359	558
263	365	565
264	379	582
265	379	579
266	380	577
267	389	587
268	395	592
269	397	591
270	413	612
271	414	610
272	415	606
273	415	603
274	415	599
275	415	596
276	416	593
277	416	590
278	416	586
279	416	583
280	417	580
281	417	577
282	418	575
283	418	572
284	418	568
285	419	566
286	419	563
287	420	560
288	420	556
289	420	553
290	420	551
291	421	548
292	421	545
293	422	542
294	422	539
295	422	536
296	423	534
297	423	531
298	424	529
299	425	527
300	427	526
301	427	524
302	428	521
303	428	519
304	429	516
305	430	514
